tenure,rev_10_reduct,rev_20_reduct,rev_30_reduct,rev_40_reduct,rev_50_reduct,cost_10_reduct,cost_20_reduct,cost_30_reduct,cost_40_reduct,cost_50_reduct
1,8548.50682,10964.06364,13379.62046,15795.17728,18210.7341,77175,64890,52605,40320,28035
2,10105.92222,11225.89444,12345.86666,13465.83888,14585.81109,27058.5,21672,16285.5,10899,5512.5
3,13472.63379,14323.11758,15173.60138,16024.08517,16874.56896,18522,14364,10206,6048,1890
4,13473.62387,14275.04773,15076.4716,15877.89546,16679.31933,18963,15246,11529,7812,4095
5,15590.96516,16260.33033,16929.69549,17599.06066,18268.42582,14521.5,11403,8284.5,5166,2047.5
6,14476.67798,14947.95596,15419.23394,15890.51191,16361.78989,8820,6615,4410,2205,0
7,21543.16914,22192.93829,22842.70743,23492.47657,24142.24571,11970,9135,6300,3465,630
8,24908.94628,25464.74255,26020.53883,26576.33511,26754.73885,8473.5,5922,3370.5,819,0
9,34112.52716,34726.10432,35339.68148,35953.25865,36078.76306,8883,6111,3339,567,0
10,24504.56954,24969.93907,25435.30861,25900.67814,26225.02661,7686,5607,3528,1449,0
11,36074.11155,36701.8731,37329.63465,37957.3962,38476.923,10489.5,7749,5008.5,2268,0
12,28351.0155,28821.431,29291.8465,29762.262,30085.67266,7434,5418,3402,1386,0
